clean_number,event_number,axis_scatter,numb_pix,energy,size,Xc[0],Yc[0],con2,length[0],width[0],dist[0],dist[1],azwidth[1],miss[1],alpha[0],alpha[1],a_axis[0],b_axis[0],x_max_coord,y_max_coord,skewness_l,kurtosis_l,skewness_w,kurtosis_w,con1,con3,edge,source_x,source_y,x_ground,y_ground,tel_tet,tel_fi,source_tet,source_fi,Xmax,num_islands,con_selected_island
1285,572,0,6,82.0275,230.262,3.22288,-0.378692,0.522079,0.39455,0.104361,3.24505,2.68108,0.104775,0.065616,19.4789,1.40238,-0.491638,9.99834,3.0753,-0.313328,-0.624569,34.2834,-0.112514,0.175336,0.268533,0.750311,1,0.846529,0.862731,476.967,3.41727,0.685095,5.30659,0.669898,-0.952797,419.078,1,1
1286,572,5,21,82.0275,2144.08,2.28227,1.17343,0.387544,0.497546,0.159367,2.56626,1.46897,0.159423,0.0131474,15.512,0.51281,0.207054,5.81161,2.1708,1.25331,0.949107,129.229,-0.18306,1.27152,0.228724,0.546026,0,0.846529,0.862731,127.906,141.549,0.685095,5.30659,0.669898,-0.952797,419.078,1,1
1287,572,8,26,82.0275,3387.18,0.925283,0.398241,0.539712,0.363381,0.192949,1.00735,0.471119,0.19407,0.0318643,80.2142,3.87818,-4.16493,35.2569,0.7236,0.626656,1.74186,66.5001,0.296037,3.21574,0.289968,0.753188,0,0.846529,0.862731,31.2209,-37.8662,0.685095,5.30659,0.669898,-0.952797,419.078,1,1
1288,573,0,15,196.87,255.589,-0.990491,-2.81902,0.24224,0.737044,0.151104,2.98797,4.11426,0.151281,0.0417842,6.56578,0.581903,2.05712,-6.47984,-1.0854,-3.13328,-0.0671182,348.748,0.219267,0.79295,0.143265,0.3319,1,0.84574,0.862745,722.32,-338.809,0.661027,6.22124,0.645823,-0.0374173,396.551,1,1
1289,573,1,17,196.87,1263.45,-1.22934,2.11961,0.331367,0.614564,0.143038,2.45031,2.42604,0.143146,0.0225988,28.1502,0.533725,-0.6185,11.2708,-0.7236,1.87997,0.263023,186.153,-0.0664769,0.672698,0.170236,0.464662,0,0.84574,0.862745,-246.751,-295.35,0.661027,6.22124,0.645823,-0.0374173,396.551,1,1
1290,573,3,12,196.87,285.532,-2.13386,-0.995236,0.276501,0.645973,0.134888,2.35454,3.51142,0.135855,0.0899685,8.41005,1.46817,0.659741,3.42089,-2.5326,-1.25331,-0.0367923,192.691,-0.535824,0.537504,0.140117,0.396894,0,0.84574,0.862745,369.27,-534.908,0.661027,6.22124,0.645823,-0.0374173,396.551,1,1
1291,573,4,10,196.87,620.129,3.21622,0.319713,0.521637,0.379806,0.125184,3.23207,2.43188,0.1268,0.136867,15.3533,3.22632,-0.170509,7.19825,3.0753,0.313328,-0.179041,25.4408,0.067486,0.515731,0.26579,0.661745,1,0.84574,0.862745,148.85,399.471,0.661027,6.22124,0.645823,-0.0374173,396.551,1,1
1292,573,5,25,196.87,2678.68,-0.556795,-0.397768,0.363027,0.679862,0.145781,0.684281,1.88573,0.145802,0.00689109,6.61504,0.209378,0.905367,0.881719,-0.5427,-0.313328,1.02219,475.113,-0.184628,0.864216,0.184434,0.492306,1,0.84574,0.862745,201.1,-202.729,0.661027,6.22124,0.645823,-0.0374173,396.551,1,1
1293,573,6,11,196.87,241.776,-1.90447,-1.6176,0.372419,0.559084,0.131864,2.49872,3.70348,0.134302,0.173645,4.39036,2.68741,0.990752,2.2327,-1.9899,-1.56664,0.10695,117.568,0.0186394,0.414159,0.189733,0.499524,1,0.84574,0.862745,530.206,-529.093,0.661027,6.22124,0.645823,-0.0374173,396.551,1,1
1294,573,8,13,196.87,307.733,-2.64575,-0.184692,0.27155,0.666567,0.151136,2.65219,3.64522,0.155011,0.193398,9.66464,3.04127,0.242994,3.79941,-3.0753,-0.313328,0.0961816,226.425,0.351676,0.893417,0.145928,0.391534,0,0.84574,0.862745,188.241,-585.631,0.661027,6.22124,0.645823,-0.0374173,396.551,1,1
1295,573,9,10,196.87,252.203,-1.38232,3.41184,0.39963,0.497512,0.138705,3.68123,3.38558,0.139479,0.104024,20.8606,1.76072,-1.07552,15.9629,-1.2663,3.4466,0.0661052,69.774,-0.814102,0.950395,0.210529,0.552801,1,0.84574,0.862745,-537.84,-341.125,0.661027,6.22124,0.645823,-0.0374173,396.551,1,1
1296,574,0,10,72.383,380.587,2.7158,0.0469746,0.437056,0.469797,0.123197,2.71621,2.03993,0.127162,0.14176,28.5463,3.98483,-0.521795,12.1399,2.8944,0,0.244265,66.4991,-0.0793898,0.369811,0.231285,0.588722,1,0.846065,0.862696,256.898,269.526,0.675488,6.03146,0.660289,-0.227647,372.9,1,1
1297,574,6,12,72.383,339.496,1.77482,3.18646,0.338764,0.505849,0.14278,3.6474,2.5025,0.144455,0.113126,4.74085,2.59095,2.2069,-6.05631,1.809,3.13328,-0.267085,89.4364,0.100315,0.808315,0.184777,0.478277,1,0.846065,0.862696,-438.042,268.694,0.675488,6.03146,0.660289,-0.227647,372.9,1,1
1298,574,9,16,72.383,1195.89,-0.175531,2.00304,0.520259,0.561402,0.115345,2.01072,1.53103,0.116632,0.0481365,38.6497,1.80172,-1.04798,15.0836,0,1.87997,1.24283,269.093,0.158253,0.383733,0.29452,0.631247,1,0.846065,0.862696,-241.914,-101.69,0.675488,6.03146,0.660289,-0.227647,372.9,1,1
1299,576,5,14,57.6402,726.427,-0.314908,-0.447441,0.507458,0.508797,0.115311,0.547148,1.74936,0.120493,0.123404,2.31718,4.04514,1.30535,-0.301629,-0.1809,-0.313328,0.697199,112.802,0.0980974,0.506957,0.266715,0.677948,0,0.844258,0.86275,295.217,60.8468,0.624817,7.10411,0.609602,0.846663,359.955,1,1
1300,576,6,8,57.6402,147.816,0.820775,-1.937,0.430759,0.43552,0.121564,2.10372,2.79984,0.124004,0.163872,20.0893,3.35539,-19.9134,119.465,0.9045,-2.19329,-0.189465,44.4787,-0.0325657,0.33886,0.233452,0.590288,0,0.844258,0.86275,419.53,452.13,0.624817,7.10411,0.609602,0.846663,359.955,1,1
1301,576,8,16,57.6402,1789.14,1.11809,2.03947,0.581414,0.420092,0.121548,2.32585,1.20817,0.121614,0.0120695,15.0601,0.572388,4.1107,-21.1997,1.0854,1.87997,1.18137,78.3073,-0.441631,0.550442,0.429644,0.730683,0,0.844258,0.86275,-170.36,-127.731,0.624817,7.10411,0.609602,0.846663,359.955,1,1
1302,577,1,22,147.799,1214.39,1.49383,-1.45918,0.319512,0.721449,0.146255,2.08824,2.41037,0.147125,0.0545141,31.3925,1.29594,-3.92897,36.5675,1.4472,-1.25331,0.378891,384.446,0.299549,0.956909,0.170837,0.435663,0,0.846621,0.862673,357.062,209.056,0.68518,6.59817,0.669984,0.338783,449.489,1,1
1303,577,7,30,147.799,3830.19,-0.691235,0.954013,0.462333,0.608525,0.138461,1.17811,1.54057,0.139537,0.0449518,52.3476,1.67206,-0.0301505,7.73774,-0.1809,0.939984,0.842969,267.798,-0.502063,2.18562,0.248123,0.615211,1,0.846621,0.862673,48.961,-190.848,0.68518,6.59817,0.669984,0.338783,449.489,1,1
1304,577,9,9,147.799,181.148,2.77209,-1.57744,0.410995,0.5657,0.106851,3.18948,3.10831,0.119312,0.297042,27.5654,5.48378,-1.55213,22.5969,2.5326,-1.25331,0.0994642,135.461,1.76131,0.340025,0.235918,0.546995,1,0.846621,0.862673,401.621,482.552,0.68518,6.59817,0.669984,0.338783,449.489,1,1
1305,578,4,23,88.6376,4688.59,1.27726,-0.320602,0.627061,0.508777,0.12247,1.31688,1.25966,0.125914,0.0746086,52.4644,3.39556,-2.30589,21.7631,1.0854,0,1.55898,218.576,0.475053,0.776063,0.374825,0.741209,0,0.84541,0.862723,125.073,128.586,0.649584,6.78597,0.634377,0.527683,461.155,1,1
1306,578,9,16,88.6376,815.116,-0.325139,-1.33059,0.347566,0.687672,0.13155,1.36974,2.48613,0.133042,0.0731835,12.67,1.68685,2.01435,-5.6024,-0.1809,-0.939984,0.535217,332.489,-0.446256,0.679105,0.198216,0.490052,0,0.84541,0.862723,365.848,40.7939,0.649584,6.78597,0.634377,0.527683,461.155,1,1
1307,579,4,22,78.2571,917.798,-1.2923,1.41663,0.395341,0.843397,0.140658,1.91752,2.20588,0.142537,0.0611902,34.6764,1.58957,-0.229977,9.28219,-0.7236,1.25331,0.956988,921.211,0.494539,0.797133,0.24239,0.519465,1,0.842923,0.862792,-27.9885,-284.261,0.588198,6.45913,0.57297,0.203083,391.481,1,1
1308,579,8,14,78.2571,871.851,2.72829,0.486558,0.408041,0.549121,0.135367,2.77134,1.92254,0.136354,0.0591683,23.1607,1.76362,-0.231769,9.27771,2.1708,0.626656,0.307837,109.244,0.0121266,0.717924,0.215032,0.519508,1,0.842923,0.862792,20.1107,277.591,0.588198,6.45913,0.57297,0.203083,391.481,1,1
1309,580,5,9,51.0322,179.468,1.70785,-1.40414,0.313777,0.555573,0.112891,2.21096,2.42658,0.115163,0.101542,32.0725,2.39827,-2.98842,30.6769,1.6281,-1.56664,-0.262525,124.008,0.196718,0.216216,0.157265,0.470262,0,0.842199,0.862791,468.969,-90.0722,0.57152,5.78326,0.556286,-0.472087,370.638,1,1
