event_index,log_likelihood,x_ground_est,y_ground_est,energy_est,xmax_est,source_tet_est,source_fi_est,x_ground_true,y_ground_true,energy_true,xmax_true,source_tet_true,source_fi_true,tel_fi
18.0,-1326.1404397400938,116.7701453149856,-15.237373507423378,109.94356461519419,427.06216552639154,0.5588696830843966,0.4444652543123908,104.6,-12.188,110.345,430.012,0.582076,0.393503,6.64991
19.0,-1326.903738875612,662.8750275642201,351.9640413130837,103.8091407083573,451.40225811644274,0.526630113265767,0.35796713635753363,432.42,200.448,110.345,430.012,0.582076,0.393503,6.64991
20.0,-1114.2597326962707,-142.88239241418577,337.15338296713435,108.27400978445866,430.28091506164554,0.6061402946694954,0.37967301535594977,-146.468,329.617,110.345,430.012,0.582076,0.393503,6.64991
21.0,-1232.1169860009588,603.6909664040309,667.4652510757828,69.04461827551802,366.44701244606756,0.5747378683436466,0.41834304701227865,637.997,-120.838,110.345,430.012,0.582076,0.393503,6.64991
22.0,-1148.0633376878716,777.7375644613759,-175.59395304163027,94.97569829248665,430.79902107555904,0.5315493986704409,0.41713074953381835,608.372,-181.509,110.345,430.012,0.582076,0.393503,6.64991
23.0,-1084.4061885407011,-299.6102952968566,-162.5664903311633,23.71994694838546,359.8088985206191,0.6496332432677209,0.6616719674476883,-284.554,-162.105,24.4568,359.617,0.666828,0.592713,6.852
24.0,-2876.047582246718,136.94548240824506,-463.8353688335302,93.16958931320035,496.495348404649,0.674410618821508,0.5586770622834152,83.2937,-134.25,24.4568,359.617,0.666828,0.592713,6.852
25.0,-1097.671855576226,-116.76106781120481,-247.1605376651443,23.52848653269171,392.55614207202666,0.5665653395045751,-0.49919067507689263,-130.879,-258.015,24.9014,392.06,0.549948,-0.528517,5.72655
26.0,-1091.0843307054986,-292.4126504855659,-20.09321031718258,46.59605260941042,448.68382726966,0.5899592302543705,0.4250928753564356,-293.024,-6.02811,46.33,446.646,0.583625,0.408223,6.66469
27.0,-1084.2671044621245,465.7968896878116,200.4569737852755,46.87875711248153,445.0978596152336,0.564032898719809,0.36548093539573046,428.072,180.016,46.33,446.646,0.583625,0.408223,6.66469
28.0,-1094.8977067609342,595.7119183097911,131.01751853163546,153.4221137711753,489.7588060753165,0.6355117776758089,0.0752146484499221,586.647,113.348,154.762,489.681,0.634476,-0.00388735,6.2544
29.0,-1265.1127417362493,403.9264940493995,-875.435284067667,43.88869839916509,345.5048452429274,0.6679984969224573,-0.4215193380021862,-72.2156,-259.074,24.4459,350.308,0.594024,-0.356547,5.90032
30.0,-1669.0518482502162,-160.83643193429543,-531.1613699824807,52.59089862574878,402.92023658689357,0.6454287083588083,0.3220591880004928,356.531,316.654,78.9541,359.259,0.653759,0.301193,6.5601
31.0,-1096.5595449144228,-12.356161999284623,-282.500756439391,76.59639411332027,358.32953860915353,0.6684888557798908,0.25310942143007154,-14.1057,-281.299,78.9541,359.259,0.653759,0.301193,6.5601
